,track,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
199,Boom Boom,The Animals,0.386,0.432,199760,0.659,0.0,10,0.289,-5.389,1,0.0505,78.989,4,0.799
200,(Don't Fear) The Reaper,Blue Öyster Cult,0.0029,0.333,308120,0.927,0.000208,9,0.297,-8.55,0,0.0733,141.466,4,0.385
201,Burnin' for You,Blue Öyster Cult,0.106,0.532,271000,0.728,0.0108,9,0.0849,-9.079,0,0.0352,134.303,4,0.69
202,Then Came the Last Days of May,Blue Öyster Cult,0.301,0.367,210547,0.609,0.0243,9,0.196,-11.221,0,0.0457,149.386,4,0.443
203,Godzilla,Blue Öyster Cult,0.164,0.373,221400,0.869,7.76e-06,4,0.605,-7.719,1,0.0554,184.024,4,0.696
204,Cities On Flame with Rock and Roll,Blue Öyster Cult,0.0716,0.337,242640,0.886,0.00156,4,0.204,-8.607,1,0.098,177.713,4,0.648
205,Astronomy,Blue Öyster Cult,0.381,0.298,383973,0.581,0.0224,4,0.172,-8.133,0,0.0289,89.285,4,0.26
206,(Don't Fear) The Reaper,Blue Öyster Cult,0.000462,0.433,229053,0.912,0.000235,0,0.261,-10.658,1,0.0571,141.938,4,0.68
207,Veteran of the Psychic Wars,Blue Öyster Cult,0.162,0.453,289587,0.776,3.81e-05,0,0.349,-9.937,1,0.0432,85.992,4,0.568
208,Take Me Away,Blue Öyster Cult,0.0108,0.538,271680,0.851,1.82e-05,8,0.325,-7.793,1,0.0643,117.359,4,0.66
209,Fire of Unknown Origin,Blue Öyster Cult,0.0612,0.565,251440,0.603,0.00144,4,0.0666,-9.533,1,0.0287,126.984,4,0.489
