,track,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
95,Angry,The Rolling Stones,0.000658,0.589,226736,0.89,5.44e-06,4,0.0357,-3.467,1,0.0774,113.088,4,0.709
96,Beast Of Burden - Remastered 1994,The Rolling Stones,0.39,0.783,265173,0.878,0.000778,1,0.0426,-3.864,0,0.0308,100.626,4,0.885
97,Angie - Remastered 2009,The Rolling Stones,0.67,0.429,272000,0.554,0.000152,9,0.105,-6.128,0,0.0291,136.302,4,0.407
98,Sweet Sounds Of Heaven (feat. Lady Gaga & Stevie Wonder),The Rolling Stones,0.0107,0.452,442669,0.664,0.000799,5,0.108,-4.962,1,0.0362,130.507,3,0.304
99,Miss You - Remastered,The Rolling Stones,0.443,0.795,288667,0.71,0.0215,9,0.344,-4.746,0,0.0392,109.689,4,0.845
100,La Grange - 2005 Remaster,ZZ Top,0.00249,0.545,230480,0.64,0.0304,4,0.196,-9.937,0,0.224,80.544,4,0.606
101,Sharp Dressed Man - 2008 Remaster,ZZ Top,0.000359,0.601,258027,0.859,0.00124,5,0.0871,-5.263,1,0.0276,125.145,4,0.446
102,Tush - 2006 Remaster,ZZ Top,0.1,0.58,137933,0.885,0.00157,0,0.146,-5.154,0,0.0715,145.405,4,0.788
103,Gimme All Your Lovin',ZZ Top,0.00322,0.63,241080,0.788,0.0237,5,0.0883,-6.7,1,0.0298,120.059,4,0.63
104,Legs - 2008 Remaster,ZZ Top,0.00957,0.611,273907,0.946,0.0708,4,0.36,-5.357,1,0.0378,125.398,4,0.763
105,Waitin' for the Bus - 2006 Remaster,ZZ Top,0.0463,0.701,173267,0.371,0.0835,7,0.148,-10.303,1,0.0907,99.537,4,0.86
106,Just Got Paid,ZZ Top,0.29,0.567,267480,0.687,0.426,9,0.121,-10.536,1,0.0435,99.93,4,0.625
107,Jesus Just Left Chicago - 2006 Remaster,ZZ Top,0.0853,0.34,210253,0.598,0.118,0,0.0969,-9.668,1,0.0741,215.918,3,0.697
108,Rough Boy,ZZ Top,0.38,0.457,289160,0.48,0.016,9,0.142,-15.776,1,0.03,157.967,4,0.683
109,Blue Jean Blues - 2005 Remaster,ZZ Top,0.577,0.648,282627,0.242,0.0124,11,0.104,-11.319,0,0.0399,130.885,3,0.294
110,"Another Brick in the Wall, Pt. 2",Pink Floyd,0.0782,0.693,238747,0.394,0.000694,0,0.247,-15.882,1,0.0428,104.114,4,0.721
111,Wish You Were Here,Pink Floyd,0.735,0.481,334744,0.262,0.0114,7,0.832,-15.73,1,0.0414,122.861,4,0.375
112,Comfortably Numb,Pink Floyd,0.15,0.472,382297,0.366,0.312,11,0.0837,-12.595,0,0.0286,127.163,4,0.171
113,Breathe (In the Air),Pink Floyd,0.389,0.431,169535,0.373,0.728,11,0.143,-15.142,0,0.0346,128.153,4,0.253
114,Money,Pink Floyd,0.024,0.468,382834,0.536,0.00199,11,0.269,-10.422,0,0.144,126.256,1,0.785
115,The Great Gig in the Sky,Pink Floyd,0.767,0.274,283872,0.217,0.896,5,0.0832,-13.814,1,0.0345,116.334,4,0.181
116,Time,Pink Floyd,0.521,0.359,413947,0.48,0.0043,9,0.178,-11.79,1,0.0841,120.285,4,0.355
117,Hey You,Pink Floyd,0.223,0.587,278441,0.302,0.00216,0,0.128,-14.976,1,0.0293,112.46,4,0.19
118,Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd,0.772,0.264,811077,0.294,0.686,7,0.107,-11.941,0,0.028,137.937,3,0.0402
119,Brain Damage,Pink Floyd,0.0732,0.324,226667,0.265,0.341,2,0.366,-13.398,1,0.0302,133.568,4,0.208
120,Jump - 2015 Remaster,Van Halen,0.171,0.572,241600,0.835,0.000377,0,0.0702,-6.219,1,0.0317,129.981,4,0.795
121,Panama - 2015 Remaster,Van Halen,0.00122,0.526,210227,0.978,4.75e-05,8,0.0744,-5.436,1,0.108,141.167,4,0.451
122,Runnin' with the Devil - 2015 Remaster,Van Halen,0.148,0.472,214960,0.9,0.000297,8,0.34,-6.406,0,0.0582,95.826,4,0.42
123,You Really Got Me - 2015 Remaster,Van Halen,0.0223,0.454,156147,0.946,0.0,1,0.173,-5.978,0,0.13,138.18,4,0.647
124,Ain't Talkin' 'Bout Love - 2015 Remaster,Van Halen,0.021,0.518,227800,0.938,0.000305,8,0.288,-5.964,0,0.0416,139.138,4,0.71
125,Why Can't This Be Love,Van Halen,0.0606,0.531,227693,0.626,0.0,0,0.0767,-13.371,1,0.0452,88.236,4,0.746
126,Hot for Teacher - 2015 Remaster,Van Halen,0.000652,0.552,282747,0.947,0.00025,2,0.0637,-4.671,1,0.15,127.631,4,0.465
127,Dance the Night Away - 2015 Remaster,Van Halen,0.0373,0.548,188084,0.843,1.26e-06,8,0.0536,-7.32,1,0.0597,129.661,4,0.719
128,Eruption - 2015 Remaster,Van Halen,0.469,0.225,102080,0.689,0.813,8,0.337,-9.12,1,0.0555,93.798,4,0.5
129,Can't Stop Lovin' You,Van Halen,0.0734,0.609,247467,0.912,3.1e-06,9,0.159,-3.324,1,0.0338,118.035,4,0.564
130,Ghost Song,Jim Morrison,0.416,0.764,170667,0.48,0.316,0,0.107,-13.63,1,0.0819,110.175,4,0.705
131,Black Polished Chrome,Jim Morrison,0.141,0.564,67880,0.502,0.000208,2,0.277,-12.27,1,0.0621,138.428,4,0.708
132,A Feast of Friends - 2022 Remastered Version,Jim Morrison,0.668,0.394,130000,0.415,0.13,0,0.181,-8.056,0,0.0308,71.534,3,0.35
133,Stoned Immaculate,Jim Morrison,0.128,0.749,93320,0.388,0.000483,4,0.213,-16.357,1,0.104,119.97,4,0.865
134,Newborn Awakening,Jim Morrison,0.374,0.549,144933,0.45,0.000409,0,0.147,-14.252,1,0.0681,112.125,4,0.464
135,An American Prayer,Jim Morrison,0.411,0.704,184400,0.427,0.0247,7,0.233,-15.091,1,0.0606,110.389,4,0.774
136,Hour for Magic,Jim Morrison,0.624,0.467,77907,0.173,0.00105,2,0.113,-21.039,1,0.0604,115.894,5,0.218
137,Bird of Prey,Jim Morrison,0.962,0.567,63773,0.144,5.41e-05,1,0.275,-24.232,1,0.322,48.655,4,0.178
138,The Ghost Song,Jim Morrison,0.375,0.746,315920,0.473,0.00562,2,0.0629,-14.567,0,0.142,110.527,4,0.247
139,Ghost Song,Jim Morrison,0.353,0.78,252813,0.464,0.0242,0,0.0656,-13.898,1,0.0572,110.465,4,0.784
140,Tom Sawyer,Rush,0.00145,0.536,276880,0.901,0.0186,9,0.06,-7.211,1,0.0374,87.559,4,0.666
141,Limelight,Rush,0.00197,0.581,259840,0.854,0.0013,1,0.111,-8.485,0,0.0428,131.18,4,0.788
142,The Spirit Of Radio,Rush,0.0144,0.365,296467,0.924,0.000254,4,0.423,-7.066,1,0.0488,135.811,4,0.632
143,Closer To The Heart,Rush,0.115,0.373,171960,0.809,1.94e-06,2,0.653,-9.189,1,0.0744,145.045,1,0.539
144,Fly By Night,Rush,0.0872,0.501,202200,0.702,0.000994,7,0.0671,-8.543,1,0.0671,139.095,4,0.58
145,Working Man,Rush,0.00383,0.202,429973,0.835,0.0388,9,0.126,-11.04,1,0.0599,156.883,4,0.661
